District,Local Body Type,Local Body Code,Local Body Name,Ward Count
THIRUVANANTHAPURAM,Grama Panchayat,G01001,Parassala,24
THIRUVANANTHAPURAM,Grama Panchayat,G01002,Karode,20
THIRUVANANTHAPURAM,Grama Panchayat,G01003,Kulathoor,21
THIRUVANANTHAPURAM,Grama Panchayat,G01004,Chenkal,22
THIRUVANANTHAPURAM,Grama Panchayat,G01005,Thirupuram,15
THIRUVANANTHAPURAM,Grama Panchayat,G01006,Poovar,15
THIRUVANANTHAPURAM,Grama Panchayat,G01007,Vellarada,24
THIRUVANANTHAPURAM,Grama Panchayat,G01008,Kunnathukal,23
THIRUVANANTHAPURAM,Grama Panchayat,G01009,Kollayil,18
THIRUVANANTHAPURAM,Grama Panchayat,G01010,Perumkadavila,17
THIRUVANANTHAPURAM,Grama Panchayat,G01011,Aryankode,17
THIRUVANANTHAPURAM,Grama Panchayat,G01012,Ottasekaramangalam,15
THIRUVANANTHAPURAM,Grama Panchayat,G01013,Kallikkadu,14
THIRUVANANTHAPURAM,Grama Panchayat,G01014,Amboori,14
THIRUVANANTHAPURAM,Grama Panchayat,G01015,Athiyannoor,18
THIRUVANANTHAPURAM,Grama Panchayat,G01016,Kanjiramkulam,15
THIRUVANANTHAPURAM,Grama Panchayat,G01017,Karumkulam,19
THIRUVANANTHAPURAM,Grama Panchayat,G01018,Kottukal,21
THIRUVANANTHAPURAM,Grama Panchayat,G01019,Venganoor,22
THIRUVANANTHAPURAM,Grama Panchayat,G01020,Maranallur,22
THIRUVANANTHAPURAM,Grama Panchayat,G01021,Balaramapuram,22
THIRUVANANTHAPURAM,Grama Panchayat,G01022,Pallichal,24
THIRUVANANTHAPURAM,Grama Panchayat,G01023,Malayinkeezhu,22
THIRUVANANTHAPURAM,Grama Panchayat,G01024,Vilappil,22
THIRUVANANTHAPURAM,Grama Panchayat,G01025,Vilavoorkal,20
THIRUVANANTHAPURAM,Grama Panchayat,G01026,Kalliyoor,24
THIRUVANANTHAPURAM,Grama Panchayat,G01027,Andoorkonam,20
THIRUVANANTHAPURAM,Grama Panchayat,G01028,Kadinamkulam,24
THIRUVANANTHAPURAM,Grama Panchayat,G01029,Mangalapuram,22
THIRUVANANTHAPURAM,Grama Panchayat,G01030,Pothencode,19
THIRUVANANTHAPURAM,Grama Panchayat,G01031,Azhoor,18
THIRUVANANTHAPURAM,Grama Panchayat,G01032,Kattakada,24
THIRUVANANTHAPURAM,Grama Panchayat,G01033,Vellanad,20
THIRUVANANTHAPURAM,Grama Panchayat,G01034,Poovachal,24
THIRUVANANTHAPURAM,Grama Panchayat,G01035,Aryanad,18
THIRUVANANTHAPURAM,Grama Panchayat,G01036,Vithura,18
THIRUVANANTHAPURAM,Grama Panchayat,G01037,Kuttichal,15
THIRUVANANTHAPURAM,Grama Panchayat,G01038,Uzhamalakkal,16
THIRUVANANTHAPURAM,Grama Panchayat,G01039,Tholicode,18
THIRUVANANTHAPURAM,Grama Panchayat,G01040,Karakulam,24
THIRUVANANTHAPURAM,Grama Panchayat,G01041,Aruvikkara,21
THIRUVANANTHAPURAM,Grama Panchayat,G01042,Vembayam,23
THIRUVANANTHAPURAM,Grama Panchayat,G01043,Anadu,20
THIRUVANANTHAPURAM,Grama Panchayat,G01044,Panavoor,16
THIRUVANANTHAPURAM,Grama Panchayat,G01045,Vamanapuram,16
THIRUVANANTHAPURAM,Grama Panchayat,G01046,Manickal,23
THIRUVANANTHAPURAM,Grama Panchayat,G01047,Nellanad,18
THIRUVANANTHAPURAM,Grama Panchayat,G01048,Pullampara,16
THIRUVANANTHAPURAM,Grama Panchayat,G01049,Nanniyode,18
THIRUVANANTHAPURAM,Grama Panchayat,G01050,Peringammala,19
THIRUVANANTHAPURAM,Grama Panchayat,G01051,Kallara,18
THIRUVANANTHAPURAM,Grama Panchayat,G01052,Pangode,19
THIRUVANANTHAPURAM,Grama Panchayat,G01053,Pulimath,20
THIRUVANANTHAPURAM,Grama Panchayat,G01054,Karavaram,20
THIRUVANANTHAPURAM,Grama Panchayat,G01055,Nagaroor,18
THIRUVANANTHAPURAM,Grama Panchayat,G01056,Pazhayakunnummel,17
THIRUVANANTHAPURAM,Grama Panchayat,G01057,Kilimanoor,16
THIRUVANANTHAPURAM,Grama Panchayat,G01058,Navayikulam,24
THIRUVANANTHAPURAM,Grama Panchayat,G01059,Madavoor,16
THIRUVANANTHAPURAM,Grama Panchayat,G01060,Pallikkal,14
THIRUVANANTHAPURAM,Grama Panchayat,G01061,Anchuthengu,14
THIRUVANANTHAPURAM,Grama Panchayat,G01062,Vakkom,14
THIRUVANANTHAPURAM,Grama Panchayat,G01063,Chirayinkeezhu,19
THIRUVANANTHAPURAM,Grama Panchayat,G01064,Kizhuvilam,21
THIRUVANANTHAPURAM,Grama Panchayat,G01065,Mudakkal,22
THIRUVANANTHAPURAM,Grama Panchayat,G01066,Kadakkavoor,17
THIRUVANANTHAPURAM,Grama Panchayat,G01067,Vettoor,15
THIRUVANANTHAPURAM,Grama Panchayat,G01068,Cherunniyoor,15
THIRUVANANTHAPURAM,Grama Panchayat,G01069,Edava,18
THIRUVANANTHAPURAM,Grama Panchayat,G01070,Elakamon,18
THIRUVANANTHAPURAM,Grama Panchayat,G01071,Chemmaruthy,20
THIRUVANANTHAPURAM,Grama Panchayat,G01072,Manamboor,17
THIRUVANANTHAPURAM,Grama Panchayat,G01073,Ottoor,14
THIRUVANANTHAPURAM,Block Panchayat,B01001,Parassala,15
THIRUVANANTHAPURAM,Block Panchayat,B01002,Perumkadavila,16
THIRUVANANTHAPURAM,Block Panchayat,B01003,Athiyanoor,14
THIRUVANANTHAPURAM,Block Panchayat,B01004,Nemom,18
THIRUVANANTHAPURAM,Block Panchayat,B01005,Pothencode,14
THIRUVANANTHAPURAM,Block Panchayat,B01006,Vellanad,17
THIRUVANANTHAPURAM,Block Panchayat,B01007,Nedumangad,15
THIRUVANANTHAPURAM,Block Panchayat,B01008,Vamanapuram,16
THIRUVANANTHAPURAM,Block Panchayat,B01009,Kilimanoor,16
THIRUVANANTHAPURAM,Block Panchayat,B01010,Chirayinkeezhu,14
THIRUVANANTHAPURAM,Block Panchayat,B01011,Varkala,14
THIRUVANANTHAPURAM,District Panchayat,D01001,Thiruvananthapuram,28
THIRUVANANTHAPURAM,Municipality,M01001,Neyyattinkara,46
THIRUVANANTHAPURAM,Municipality,M01002,Nedumangad,42
