Local Body Code,Ward Code,Ward Name,Males,Females,Others,Total,AC Code,AC Name
B01001,B01001001,Puthankada,4266,4688,0,8954,,
B01001,B01001002,Thirupuram,4678,5360,0,10038,,
B01001,B01001003,Chenkal,5430,5829,0,11259,,
B01001,B01001004,Udiyankulangara,5713,6377,2,12092,,
B01001,B01001005,Ponvila,6095,6876,0,12971,,
B01001,B01001006,Parasuvaikkal,6163,7083,0,13246,,
B01001,B01001007,Karumanoor,5181,5642,0,10823,,
B01001,B01001008,Parassala Town,7134,8125,0,15259,,
B01001,B01001009,Chenkavila,5909,6645,0,12554,,
B01001,B01001010,Karode,5844,6738,1,12583,,
B01001,B01001011,Kulathoor,4434,5287,0,9721,,
B01001,B01001012,Pozhiyoor,4999,5233,0,10232,,
B01001,B01001013,Poozhikkunnu,4444,4944,1,9389,,
B01001,B01001014,Poovar,5903,6288,0,12191,,
B01001,B01001015,Arumanoor,5018,5706,0,10724,,
B01002,B01002001,Kallikkadu,5260,6226,0,11486,,
B01002,B01002002,Amboori,5316,6271,0,11587,,
B01002,B01002003,Kovilloor,5818,6614,0,12432,,
B01002,B01002004,Vellarada,5300,6033,0,11333,,
B01002,B01002005,Panachamoodu,6143,6885,0,13028,,
B01002,B01002006,Anavoor,5152,5923,0,11075,,
B01002,B01002007,Paliyodu,5483,6288,0,11771,,
B01002,B01002008,Kunnathukal,5789,6773,0,12562,,
B01002,B01002009,Manchavilakom,5269,6198,0,11467,,
B01002,B01002010,Dhanuvachapuram,4624,5441,0,10065,,
B01002,B01002011,Marayamuttom,5450,6274,0,11724,,
B01002,B01002012,Perumkadavila,4656,5413,0,10069,,
B01002,B01002013,Aryancode,4714,5250,0,9964,,
B01002,B01002014,Chemboor,5088,5883,0,10971,,
B01002,B01002015,Vazhichal,4343,5016,0,9359,,
B01002,B01002016,Ottasekharamangalam,5389,6350,0,11739,,
B01003,B01003001,Muttacaud,4942,5721,0,10663,,
B01003,B01003002,Peringamala,4469,5001,0,9470,,
B01003,B01003003,Payattuvila,4313,5006,0,9319,,
B01003,B01003004,Avanakuzhi,4130,4624,0,8754,,
B01003,B01003005,Athiyannoor,4543,5288,0,9831,,
B01003,B01003006,Venpakal,4674,5413,1,10088,,
B01003,B01003007,Nellimood,3746,4381,0,8127,,
B01003,B01003008,Kanjiramkulam,4260,4563,0,8823,,
B01003,B01003009,Lourdupuram,3844,4327,0,8171,,
B01003,B01003010,Karumkulam,3410,3707,0,7117,,
B01003,B01003011,Pulluvila,5010,4778,0,9788,,
B01003,B01003012,Adimalathura,4642,4494,0,9136,,
B01003,B01003013,Kottukal,3291,3754,0,7045,,
B01003,B01003014,Venganoor,4462,5148,0,9610,,
B01004,B01004001,Puliyarakonam,6915,8191,0,15106,,
B01004,B01004002,Vilappilsala,7137,8139,0,15276,,
B01004,B01004003,Malayinkeezhu,6418,7136,0,13554,,
B01004,B01004004,Maranalloor,5718,6612,0,12330,,
B01004,B01004005,Melariyodu,6374,7175,0,13549,,
B01004,B01004006,Ooruttambalam,5747,6383,0,12130,,
